#src	dst
92	73
76	73
5	17
76	17
78	18
15	18
106	19
78	20
106	20
76	21
18	21
78	96
76	95
76	97
92	26
78	26
78	109
115	109
92	77
108	94
106	94
78	30
99	30
106	31
30	31
99	71
30	71
78	88
15	116
78	37
99	84
37	84
76	119
92	40
76	98
40	98
112	83
78	83
115	118
92	89
92	113
108	113
89	113
92	100
113	100
76	48
78	51
92	51
92	110
78	110
106	110
76	335
335	4
92	4
335	3
101	750
86	2
750	2
15	1
90	1
76	79
15	114
114	87
76	85
114	85
15	57
88	117
91	59
99	111
114	111
59	120
111	120
78	75
76	65
106	80
78	72
37	82
68	82
116	93
99	93
