#heisignum	kanji
120	頑
119	中
118	丸
117	児
116	自
115	九
114	貝
113	専
112	升
111	頁
110	朝
109	旭
108	田
#107	八   (boring node with in+out degree = 0)
106	月
#105	三
#104	七
#
#
101	土
100	博
99	一
98	舌
97	呂
96	晶
95	品
94	胃
93	首
92	十
91	二
90	竹
89	寸
88	旧
87	貞
86	水
85	員
84	百
83	昇
82	的
#81	法
80	肌
79	只
78	日
77	世
76	口
75	昌
#74	万
73	古
72	旬
71	亘
#70	四
#63	負
48	占
30	旦
#33	凹
19	朋
5	五
68	勺
26	早
20	明
51	卓
65	句
#6	六
15	目
17	吾
#34	凸
750	去
335	言
#50	下
#62	凡
31	胆
21	唱
#49	上
40	千
59	元
18	冒
57	見
37	白
#算法設計 - algorithm design
1	算
2	法
3	設
4	計
